Date,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10,subject11,subject12,subject13,subject14,subject15,subject16,subject17,subject18,subject19,subject20,subject21,subject22,subject23,subject24
2015-5-30,3.7,4,2.7,3,2.7,3.7,3,0,2.7,3.7,0,0,2,2.7,2,3.3,3,3.3,4,4,4,4,2.7,4
2015-5-30,2.7,2.7,3.3,0,3.3,4,0,0,4,2.7,0,2.7,0,2.7,0,2,0,2.7,0,2,0,0,0,3.3
2015-5-30,3.3,3.3,4,3.3,2.7,4,3,3.3,4,3.3,2.7,4,3.3,4,2.7,4,2.7,4,0,0,0,0,0,4
2015-5-30,4,4,3.7,4,4,4,3.7,4,4,3.7,3,4,4,4,4,4,3.3,4,0,3.3,3,3.3,0,4
2015-5-30,3.7,3,3.3,4,4,4,2.7,0,4,3.3,3.3,3,2.7,3.7,3.7,4,3.7,4,3,4,4,4,3,4
2015-5-30,3.3,3,2,3.3,3.7,4,2.7,0,2,0,0,0,0,3.3,0,3,2.7,3.3,3.3,4,4,4,3.3,4
2015-5-30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.7,3.3,2.7,3.7,0,4
2015-5-30,0,4,3,3.3,3.3,4,0,0,3.3,3.3,0,0,2.7,3.3,4,2.7,3,2.7,4,4,4,4,4,4
2015-5-30,3,4,3.7,3,4,4,2.7,2.7,3.3,2.7,2.7,0,2.7,3.7,2.7,3.7,3.3,4,2.7,4,3.7,4,3.3,4
2015-5-30,3.7,3,3.7,3,0,4,2.7,0,0,0,0,0,3,2.7,0,3,2.7,2.7,0,3.7,3.3,3,0,3.7
2015-5-30,3.7,3.3,3,0,2.7,4,3.3,4,0,2.7,3,3.3,2.7,2.7,3,3.7,2.7,3.7,3,0,2,0,0,4
2015-5-30,0.002997002997,3.999000999,3.997702298,2.9997003,3.9997003,4,2.7002997,0,2.697302697,3.696303696,0,3.299400599,1.701298701,3.998001998,0.002697302697,2.997002997,0,3.999300699,0.002697302697,3.3,3.9997003,2.700999001,2.7002997,4
2015-5-30,0.005994005994,3.998001998,3.995404595,2.999400599,3.999400599,4,2.700599401,0,2.694605395,3.692607393,0,3.298801199,1.702597403,3.996003996,0.005394605395,2.994005994,0,3.998601399,0.005394605395,3.3,3.999400599,2.701998002,2.700599401,4
2015-5-30,0.008991008991,3.997002997,3.993106893,2.999100899,3.999100899,4,2.700899101,0,2.691908092,3.688911089,0,3.298201798,1.703896104,3.994005994,0.008091908092,2.991008991,0,3.997902098,0.008091908092,3.3,3.999100899,2.702997003,2.700899101,4
2015-5-30,0.01198801199,3.996003996,3.990809191,2.998801199,3.998801199,4,2.701198801,0,2.689210789,3.685214785,0,3.297602398,1.705194805,3.992007992,0.01078921079,2.988011988,0,3.997202797,0.01078921079,3.3,3.998801199,2.703996004,2.701198801,4
2015-5-30,0.01498501499,3.995004995,3.988511489,2.998501499,3.998501499,4,2.701498501,0,2.686513487,3.681518482,0,3.297002997,1.706493506,3.99000999,0.01348651349,2.985014985,0,3.996503497,0.01348651349,3.3,3.998501499,2.704995005,2.701498501,4
2015-5-30,0.01798201798,3.994005994,3.986213786,2.998201798,3.998201798,4,2.701798202,0,2.683816184,3.677822178,0,3.296403596,1.707792208,3.988011988,0.01618381618,2.982017982,0,3.995804196,0.01618381618,3.3,3.998201798,2.705994006,2.701798202,4
2015-5-30,0.02097902098,3.993006993,3.983916084,2.997902098,3.997902098,4,2.702097902,0,2.681118881,3.674125874,0,3.295804196,1.709090909,3.986013986,0.01888111888,2.979020979,0,3.995104895,0.01888111888,3.3,3.997902098,2.706993007,2.702097902,4
2015-5-30,0.02397602398,3.992007992,3.981618382,2.997602398,3.997602398,4,2.702397602,0,2.678421578,3.67042957,0,3.295204795,1.71038961,3.984015984,0.02157842158,2.976023976,0,3.994405594,0.02157842158,3.3,3.997602398,2.707992008,2.702397602,4
2015-5-30,0.02697302697,3.991008991,3.979320679,2.997302697,3.997302697,4,2.702697303,0,2.675724276,3.666733267,0,3.294605395,1.711688312,3.982017982,0.02427572428,2.973026973,0,3.993706294,0.02427572428,3.3,3.997302697,2.708991009,2.702697303,4
2015-5-30,0.02997002997,3.99000999,3.977022977,2.997002997,3.997002997,4,2.702997003,0,2.673026973,3.663036963,0,3.294005994,1.712987013,3.98001998,0.02697302697,2.97002997,0,3.993006993,0.02697302697,3.3,3.997002997,2.70999001,2.702997003,4
2015-5-30,0.03296703297,3.989010989,3.974725275,2.996703297,3.996703297,4,2.703296703,0,2.67032967,3.659340659,0,3.293406593,1.714285714,3.978021978,0.02967032967,2.967032967,0,3.992307692,0.02967032967,3.3,3.996703297,2.710989011,2.703296703,4
